#YY  MM DD hh mm WDIR WSPD GDR GST GTIME
#yr  mo dy hr mn degT m/s degT m/s hhmm
2014 01 02 04 50  61 10.0  60 11.9 0445
2014 01 02 05 00  56 10.0 999 99.0 9999
2014 01 02 05 10  61  9.8 999 99.0 9999
2014 01 02 05 20  59 10.5 999 99.0 9999
2014 01 02 05 30  61 10.1 999 99.0 9999
2014 01 02 05 40  60 10.4 999 99.0 9999
2014 01 02 05 50  58 10.5  69 12.7 0539
2014 01 02 06 00  62 10.7 999 99.0 9999
2014 01 02 06 10  61 10.7 999 99.0 9999
2014 01 02 06 20  61 10.8 999 99.0 9999
2014 01 02 06 30  63 11.1 999 99.0 9999
2014 01 02 06 40  61 11.0 999 99.0 9999
2014 01 02 06 50  61 11.2  62 13.1 0642
2014 01 02 07 00  62 11.2 999 99.0 9999
2014 01 02 07 10  57 11.4 999 99.0 9999
2014 01 02 07 20  63 11.4 999 99.0 9999
2014 01 02 07 30  55 11.9 999 99.0 9999
2014 01 02 07 40  60 11.7 999 99.0 9999
2014 01 02 07 50  58 11.8  54 14.0 0738
2014 01 02 08 00  57 11.7 999 99.0 9999
2014 01 02 08 10  58 11.9 999 99.0 9999
2014 01 02 08 20  61 12.1 999 99.0 9999
2014 01 02 08 30  60 12.1 999 99.0 9999
2014 01 02 08 40  62 12.7 999 99.0 9999
2014 01 02 08 50  62 13.0  60 15.2 0811
2014 01 02 09 00  62 12.9 999 99.0 9999
2014 01 02 09 10  62 12.9 999 99.0 9999
2014 01 02 09 20  62 12.8 999 99.0 9999
2014 01 02 09 30  55 12.4 999 99.0 9999
2014 01 02 09 40  56 12.5 999 99.0 9999
2014 01 02 09 50  54 12.7  56 15.3 0922
2014 01 02 10 00  52 13.1 999 99.0 9999
2014 01 02 10 10  47 13.3 999 99.0 9999
2014 01 02 10 20  46 12.9 999 99.0 9999
2014 01 02 10 30  47 13.1 999 99.0 9999
2014 01 02 10 40  44 12.9 999 99.0 9999
2014 01 02 10 50  47 12.6  45 16.3 1029
2014 01 02 11 00  42 12.9 999 99.0 9999
2014 01 02 11 10  42 13.1 999 99.0 9999
2014 01 02 11 20  43 13.3 999 99.0 9999
