#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec deg    hPa  degC  degC  degC  nmi    ft
2020 07 01 11 10  32  2.9  4.3 99.00 99.00 99.00 999 1011.5 999.0  22.8 999.0 99.0 99.00 
2020 07 01 11 20  36  3.6  4.3 99.00 99.00 99.00 999 1011.5 999.0  22.8 999.0 99.0 99.00 
2020 07 01 11 30  47  3.4  4.3 99.00 99.00 99.00 999 1011.6 999.0  22.9 999.0 99.0 99.00 
2020 07 01 11 40  53  3.0  3.7  0.75  9.09  6.76 118 1011.7 999.0  22.9 999.0 99.0 99.00 
2020 07 01 11 50  53  2.7  3.5 99.00 99.00 99.00 999 1011.7 999.0  22.9 999.0 99.0 99.00 
2020 07 01 12 00  51  2.7  3.5 99.00 99.00 99.00 999 1011.7 999.0  23.0 999.0 99.0 99.00 
2020 07 01 12 10  58  2.6  3.4 99.00 99.00 99.00 999 1011.7 999.0  23.0 999.0 99.0 99.00 
2020 07 01 12 20  51  2.9  3.7 99.00 99.00 99.00 999 1011.9 999.0  23.0 999.0 99.0 99.00 
2020 07 01 12 30  52  3.0  3.8 99.00 99.00 99.00 999 1011.7 999.0  23.0 999.0 99.0 99.00 
2020 07 01 12 40  52  3.0  3.8  0.77 10.00  6.92 122 1011.8 999.0  23.1 999.0 99.0 99.00 
2020 07 01 12 50  57  2.2  3.0 99.00 99.00 99.00 999 1011.9 999.0  23.1 999.0 99.0 99.00 
2020 07 01 13 00  59  2.1  2.8 99.00 99.00 99.00 999 1012.0 999.0  23.0 999.0 99.0 99.00 
2020 07 01 13 10  51  2.1  3.2 99.00 99.00 99.00 999 1012.0 999.0  22.8 999.0 99.0 99.00 
2020 07 01 13 20  57  2.0  2.8 99.00 99.00 99.00 999 1012.2 999.0  22.8 999.0 99.0 99.00 
2020 07 01 13 30  71  2.1  3.0 99.00 99.00 99.00 999 1012.1 999.0  22.8 999.0 99.0 99.00 
2020 07 01 13 40  66  2.3  3.0  0.80  9.09  6.68 115 1012.2 999.0  22.8 999.0 99.0 99.00 
2020 07 01 13 50  57  2.4  3.2 99.00 99.00 99.00 999 1012.2 999.0  22.8 999.0 99.0 99.00 
2020 07 01 14 00  51  2.6  3.7 99.00 99.00 99.00 999 1012.3 999.0  22.7 999.0 99.0 99.00 
2020 07 01 14 10  54  2.4  3.4 99.00 99.00 99.00 999 1012.3 999.0  22.7 999.0 99.0 99.00 
2020 07 01 14 20  63  2.4  3.4 99.00 99.00 99.00 999 1012.2 999.0  22.7 999.0 99.0 99.00 
2020 07 01 14 30  67  2.3  3.0 99.00 99.00 99.00 999 1012.3 999.0  22.7 999.0 99.0 99.00 
2020 07 01 14 40  52  2.5  3.4  0.84 10.00  7.06 109 1012.4 999.0  22.7 999.0 99.0 99.00 
2020 07 01 14 50  61  1.7  3.1 99.00 99.00 99.00 999 1012.3 999.0  22.7 999.0 99.0 99.00 
2020 07 01 15 00  64  1.5  2.3 99.00 99.00 99.00 999 1012.2 999.0  22.7 999.0 99.0 99.00 
2020 07 01 15 10  72  1.4  2.0 99.00 99.00 99.00 999 1012.2 999.0  22.7 999.0 99.0 99.00 
2020 07 01 15 20  66  1.3  2.2 99.00 99.00 99.00 999 1012.2 999.0  22.7 999.0 99.0 99.00 
2020 07 01 15 30  83  1.2  2.1 99.00 99.00 99.00 999 1012.0 999.0  22.7 999.0 99.0 99.00 
2020 07 01 15 40  91  1.7  2.5  0.79  9.09  7.05 102 1012.0 999.0  22.7 999.0 99.0 99.00 
2020 07 01 15 50  97  1.3  2.0 99.00 99.00 99.00 999 1011.9 999.0  22.6 999.0 99.0 99.00 
2020 07 01 16 00 136  1.3  2.3 99.00 99.00 99.00 999 1011.9 999.0  22.7 999.0 99.0 99.00 
2020 07 01 16 10 141  1.5  2.5 99.00 99.00 99.00 999 1011.9 999.0  22.7 999.0 99.0 99.00 
2020 07 01 16 20 158  2.1  3.3 99.00 99.00 99.00 999 1011.7 999.0  22.7 999.0 99.0 99.00 
2020 07 01 16 30 144  2.3  3.4 99.00 99.00 99.00 999 1011.6 999.0  22.8 999.0 99.0 99.00 
2020 07 01 16 40 154  2.2  3.1  0.81  9.09  6.77 105 1011.7 999.0  22.8 999.0 99.0 99.00 
2020 07 01 16 50 181  1.8  2.9 99.00 99.00 99.00 999 1012.0 999.0  23.3 999.0 99.0 99.00 
2020 07 01 17 00 159  0.7  1.8 99.00 99.00 99.00 999 1011.8 999.0  23.3 999.0 99.0 99.00 
2020 07 01 17 10 174  1.4  2.1 99.00 99.00 99.00 999 1011.7 999.0  23.5 999.0 99.0 99.00 
2020 07 01 17 20 193  2.1  3.0 99.00 99.00 99.00 999 1011.9 999.0  23.5 999.0 99.0 99.00 
2020 07 01 17 30 209  2.8  3.6 99.00 99.00 99.00 999 1011.9 999.0  23.5 999.0 99.0 99.00 
2020 07 01 17 40 212  2.3  3.0  0.92  9.09  7.13 105 1011.6 999.0  23.8 999.0 99.0 99.00 
